datetime,pioggia1,precipitation,temp_max,temp_mean,temp_min,Ambrosia,Artemisia,Betula,Corylus,"Cupressaceae, Taxaceae",Fraxinus,Olea europaea,Ostrya carpinifolia,Poaceae,Urticaceae
1996-01-01,0.2,1.6,9.4,2.7,-0.7,0,0,0,0,0,0,0,0,0,0
1996-01-02,0,0,8.5,3.5,-1.7,0,0,0,0,0,0,0,0,0,0.496031746031746
1996-01-03,0,0,8,2,-3.5,0,0,0,0,0.496031746031746,0,0,0,0,0
1996-01-04,0,0,7.8,1.4,-3.5,0,0,0,0,0,0,0,0,0,0
1996-01-05,0,0,2.1,1.1,-0.4,0,0,0,0,0,0,0,0,0,0
1996-01-06,6.4,7.4,1.6,0.4,-0.4,0,0,0,0,0,0,0,0,0,0.496031746031746
1996-01-07,13.6,9.7,9,0.5,0,0,0,0,0,0,0,0,0,0,0
1996-01-08,0.2,3.3,9,2.8,-0.7,0,0,0,0,0,0,0,0,0,0
1996-01-09,0.2,0.1,7.2,2.4,-0.7,0,0,0,0,0,0,0,0,0,0
1996-01-10,1,2.6,5.6,2.7,0.5,0,0,0,0,0,0,0,0,0,0
1996-01-11,4.6,2.7,6.2,4.2,3.1,0,0,0,0,0,0,0,0,0,0
1996-01-12,1,1,11.2,4.7,2.1,0,0,0,0,1.98412698412698,0,0,0,0,0
1996-01-13,0,0.2,11.2,5.6,0.3,0,0,0,0,1.48809523809524,0,0,0,0.992063492063492,0
1996-01-14,0,0,10.8,4,-2.1,0,0,0,0,3.47222222222222,0,0,0,0,0.496031746031746
1996-01-15,0.2,0.1,10.6,1.8,-2.1,0,0,0,0,8.92857142857143,0,0,0,0,0
1996-01-16,0,0.1,8.5,1,-3.4,0,0,0,0.496031746031746,1.48809523809524,0,0,0,0,0
1996-01-17,0,0,8,0.1,-3.9,0,0,0,0,0,0,0,0,0,0
1996-01-18,0,0,8.6,0.1,-4.1,0,0,0,0,0,0,0,0,0.496031746031746,0
1996-01-19,0,0,8.6,0.2,-4.6,0,0,0,0.496031746031746,2.48015873015873,0,0,0,0,0
1996-01-20,0,0,7.7,-1,-4.6,0,0,0,1.48809523809524,0,0,0,0,0,0
1996-01-21,0,0,7.7,0.2,-5.4,0,0,0,0.496031746031746,0.496031746031746,0,0,0,0,0
1996-01-22,0,0,5,-1,-5.4,0,0,0,1.48809523809524,0.496031746031746,0,0,0,0,0
1996-01-23,2.4,5.2,2.4,0.7,0.2,0,0,0,0,0.496031746031746,0,0,0,0,0.496031746031746
1996-01-24,10.6,6.7,3.6,1.1,0.2,0,0,0,0,0,0,0,0,0,0
1996-01-25,5.6,6.1,3.8,2.4,1.4,0,0,0,0,0,0,0,0,0,0
1996-01-26,12,15.8,5.8,3.2,0.9,0,0,0,0,0,0,0,0,0,0
